baseline,baseline_label,group,source_path,scripts_relative_path,filename,version_label,role,navigation_status,direct_run_candidate,has_main_guard,has_main_function,uses_argparse,uses_app_launcher,syntax_status,syntax_detail,summary,direct_local_imports,runtime_import_roots,referenced_asset_count,referenced_assets,static_signals
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/OpenWorldTactile_v6_1_full_cycle_validation.py,experiments/tactile-bench/OpenWorldTactile_v6_1_full_cycle_validation.py,OpenWorldTactile_v6_1_full_cycle_validation.py,v6_1,OpenWorldTactile 版本实验入口,阶段/历史版本，重命名后仍保留演进关系,yes,yes,yes,yes,yes,ok,,V6.1 full-cycle free-object tactile validation on frozen 7f -> 7g -> v9.,OpenWorldTactile_v5_new_9_tu_tactile_field_rendering,cv2; isaaclab; numpy; pxr; torch,92,attachment_vertex_indices.npy; back_surface_indices.npy; back_target_error_mm.npy; commanded_opening_mm.npy; contact_activation_field.npy; contact_activation_weight.npy; contact_count.npy; contact_vertex_count.npy; contact_vertex_mask.npy; cycle_index.npy; end_effector_pose_w.npy; episode_summary.json; error.json; failure_snapshot.json; field_conservation_error.npy; field_conservation_metrics.json; field_grid_y_m.npy; field_grid_z_m.npy; field_integral_force.npy; force_pad_local.npy; force_pad_local_vertices.npy; free_object_grasp_metrics.json; front_surface_indices.npy; front_surface_mask.npy; front_surface_yz.npy; frozen_input_hashes.json; gate_results.json; gripper_opening.npy; gripper_opening_mm.npy; max_front_deformation_mm.npy; max_normal_compression_mm.npy; max_penetration_mm.npy; measured_opening_mm.npy; metadata.json; normal_compression.npy; normal_deformation.npy; normal_deformation_volume.npy; object_angular_velocity_w.npy; object_gripper_distance_mm.npy; object_lift_height_mm.npy; object_pose_w.npy; object_relative_pose_to_gripper.npy; object_velocity_w.npy; pad_attachment_orientation_error_deg.npy; pad_attachment_position_error_mm.npy; pad_pose_w.npy; penetration_depth_max_mm.npy; phase_frames.json; phase_history.json; physx_object_pose_w.npy; physx_object_velocity_w.npy; physx_uipc_object_orientation_error_deg.npy; physx_uipc_object_position_error_mm.npy; physx_uipc_relative_orientation_error_deg.npy; physx_uipc_relative_position_error_mm.npy; rest_surface_vertices_pad_local.npy; rest_tet_vertices_pad_local.npy; robot_joint_position.npy; robot_joint_velocity.npy; shear_deformation_volume.npy; shear_displacement.npy; summary.json; support_clearance_mm.npy; surface_deformation.npy; surface_displacement_pad_local.npy; surface_triangles.npy; tactile_force_channels.npy; tactile_force_field.npy; tactile_force_field_tu.npy; tactile_force_vertices.npy; tactile_fx_field.npy; tactile_fx_field_tu.npy; tactile_fy_field.npy; tactile_fy_field_tu.npy; tactile_fz_field.npy; tactile_fz_field_tu.npy; tactile_grasp_metrics.json; tactile_shear_magnitude_tu.npy; uipc_attachment_substep_pose_w.npy; uipc_mirror_generalized_velocity_norm.npy; uipc_mirror_pose_w.npy; uipc_mirror_q_prev_q_delta_norm.npy; uipc_mirror_substep_displacement_mm.npy; uipc_mirror_substep_pose_w.npy; uipc_mirror_substep_rotation_deg.npy; uipc_surface_w.npy; verdict.json; vertex_area.npy; vertex_deformation_volume_contribution.npy; warmup_contact_vertex_count.npy; warmup_force_pad_local.npy; warmup_surface_pad_local.npy,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/OpenWorldTactile_v6_1b_lift_hold_diagnostic.py,experiments/tactile-bench/OpenWorldTactile_v6_1b_lift_hold_diagnostic.py,OpenWorldTactile_v6_1b_lift_hold_diagnostic.py,v6_1b,OpenWorldTactile 版本实验入口,阶段/历史版本，重命名后仍保留演进关系,yes,yes,yes,yes,yes,ok,,V6.1c contact-timing short grasp/lift/hold diagnostic on frozen 7f -> 7g -> v9.,OpenWorldTactile_v5_new_9_tu_tactile_field_rendering,cv2; isaaclab; numpy; pxr; torch,94,.npz; attachment_vertex_indices.npy; back_surface_indices.npy; checkpoint_early_termination.npz; checkpoint_exception.npz; checkpoint_lightweight_progress.npz; checkpoint_uipc_substep_timeout.npz; checkpoint_user_interrupt.npz; contact_activation_field.npy; contact_activation_weight.npy; contact_loss_diagnosis.json; data_save_wall_time_sec.npy; deformation_and_force_wall_time_sec.npy; episode_summary.json; error.json; failure_snapshot.json; field_conservation_error.npy; field_conservation_metrics.json; field_grid_y_m.npy; field_grid_z_m.npy; field_integral_force.npy; force_pad_local.npy; force_pad_local_vertices.npy; formal_frame_wall_time_sec.npy; frame_id.npy; free_object_grasp_metrics.json; front_surface_indices.npy; front_surface_mask.npy; front_surface_yz.npy; frozen_input_hashes.json; gate_results.json; gripper_opening_mm.npy; gripper_pose_w.npy; maximum_normal_compression_mm.npy; maximum_penetration_mm.npy; membrane_center_normal_surface_error_mm.npy; membrane_center_tangent_error_mm.npy; metadata.json; minimum_signed_distance_mm.npy; normal_compression.npy; normal_deformation.npy; normal_deformation_volume.npy; object_lift_mm.npy; object_pose_gripper_local.npy; object_pose_w.npy; object_to_gripper_distance_mm.npy; object_velocity_w.npy; pad_attachment_orientation_error_deg.npy; pad_attachment_position_error_mm.npy; pad_pose_w.npy; partial_diagnostic_status.json; performance_statistics.json; phase_frames.json; phase_history.json; phase_id.npy; physx_left_finger_contact_count.npy; physx_right_finger_contact_count.npy; physx_step_wall_time_sec.npy; physx_uipc_object_orientation_error_deg.npy; physx_uipc_object_position_error_mm.npy; physx_uipc_relative_orientation_error_deg.npy; physx_uipc_relative_position_error_mm.npy; rest_surface_vertices_pad_local.npy; rest_tet_vertices_pad_local.npy; shear_deformation_volume.npy; shear_displacement.npy; short_acceptance.json; summary.json; surface_deformation.npy; surface_displacement_pad_local.npy; surface_triangles.npy; tactile_field_wall_time_sec.npy; tactile_force_channels.npy; tactile_force_field.npy; tactile_force_field_tu.npy; tactile_force_vertices.npy; tactile_fx_field.npy; tactile_fx_field_tu.npy; tactile_fy_field.npy; tactile_fy_field_tu.npy; tactile_fz_field.npy; tactile_fz_field_tu.npy; tactile_grasp_metrics.json; tactile_shear_magnitude_tu.npy; uipc_frame_wall_time_sec.npy; uipc_pad_contact_count.npy; uipc_substep_wall_time_sec.npy; verdict.json; vertex_area.npy; vertex_deformation_volume_contribution.npy; video_capture_wall_time_sec.npy; warmup_contact_vertex_count.npy; warmup_force_pad_local.npy; warmup_surface_pad_local.npy,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/OpenWorldTactile_v6_2_grasp.py,experiments/tactile-bench/OpenWorldTactile_v6_2_grasp.py,OpenWorldTactile_v6_2_grasp.py,v6_2,OpenWorldTactile 版本实验入口,当前说明中的默认参考入口；不替代历史版本,yes,yes,yes,yes,no,ok,,V6.2 Pad-local UIPC membrane with closed-loop PhysX rigid-body coupling.,OpenWorldTactile_v5_new_9_tu_tactile_field_rendering; uipc; uipc.constitution; uipc.core; uipc.geometry,isaaclab; numpy; pxr; torch,50,applied_uipc_force_substeps_w.npy; applied_uipc_force_w.npy; applied_uipc_torque_substeps_w.npy; applied_uipc_torque_w.npy; backing_contact_force_substeps_w.npy; backing_contact_force_w.npy; commanded_gripper_opening_mm.npy; contact_active.npy; end_effector_pose_w.npy; error.json; force_pad_local.npy; frame_id.npy; frame_wall_time_sec.npy; front_surface_mask.npy; front_surface_triangles.npy; gripper_opening_mm.npy; maximum_normal_deformation_mm.npy; metadata.json; minimum_signed_gap_mm.npy; motion_stage.npy; object_pose_opposing_pad_local.npy; object_pose_pad_local.npy; object_pose_w.npy; object_velocity_w.npy; opposing_contact_force_substeps_w.npy; opposing_contact_force_w.npy; opposing_pad_pose_w.npy; pad_pose_w.npy; piper_openworldtactile.usd; rest_surface_pad_local.npy; rest_surface_vertices_pad_local.npy; surface_displacement_pad_local.npy; surface_triangles.npy; tactile_force_channels.npy; uipc_admissible_force_substeps_w.npy; uipc_admissible_torque_substeps_w.npy; uipc_boundary_surface_sync_error_mm.npy; uipc_contact_cone_scale_substeps.npy; uipc_feedback_force_scale_substeps.npy; uipc_feedback_torque_scale_substeps.npy; uipc_reaction_force_substeps_w.npy; uipc_reaction_force_w.npy; uipc_reaction_torque_substeps_w.npy; uipc_reaction_torque_w.npy; uipc_reaction_vertex_count.npy; uipc_step_time_sec.npy; uipc_substep_time_sec.npy; uipc_timeout.json; verdict.json; vertex_area.npy,main_guard; main_function; argparse
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/render_tactile_field_offline.py,experiments/tactile-bench/render_tactile_field_offline.py,render_tactile_field_offline.py,,构建/评估/查看工具入口,静态识别的可导航脚本,yes,yes,yes,yes,no,ok,,Render the V6.2 membrane history as a conservative 81x65 tactile field.,OpenWorldTactile_v5_new_7g_deformation_force_estimator; tu_tactile_field,numpy,24,contact_active.npy; field_cell_area_m2.npy; field_covered_mask.npy; field_grid_y_m.npy; field_grid_z_m.npy; field_total_force_channels.npy; force_pad_local.npy; front_surface_mask.npy; front_surface_triangles.npy; front_surface_triangles_front_local.npy; metadata.json; motion_stage.npy; rest_surface_vertices_pad_local.npy; surface_displacement_pad_local.npy; surface_triangles.npy; tactile_force_channels.npy; tactile_force_field.npy; tactile_fx_field.npy; tactile_fy_field.npy; tactile_fz_field.npy; tactile_shear_magnitude_field.npy; tactile_vertex_force_channels.npy; tactile_vertex_force_density_tu_per_m2.npy; vertex_area.npy,main_guard; main_function; argparse
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/run_v4_8_dataset_sweep.py,experiments/tactile-bench/run_v4_8_dataset_sweep.py,run_v4_8_dataset_sweep.py,v4_8,构建/评估/查看工具入口,静态识别的可导航脚本,yes,yes,yes,yes,no,ok,,run v4 8 dataset sweep,,numpy,4,dataset_manifest.csv; local_fxyz.npy; metadata.json; pressure_mask.npy,main_guard; main_function; argparse
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/test_kinematic_abd_pose_history_runtime.py,experiments/tactile-bench/test_kinematic_abd_pose_history_runtime.py,test_kinematic_abd_pose_history_runtime.py,,静态测试入口,静态识别的可导航脚本,yes,yes,yes,no,no,ok,,GPU runtime checks for the dedicated kinematic ABD pose-history API.,uipc; uipc.constitution; uipc.core; uipc.geometry; uipc.unit,numpy,0,,main_guard; main_function; test_module
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/test_membrane_local_frame.py,experiments/tactile-bench/test_membrane_local_frame.py,test_membrane_local_frame.py,,静态测试入口,静态识别的可导航脚本,yes,yes,no,no,no,ok,,test membrane local frame,membrane_local_frame,numpy,0,,main_guard; test_module
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/test_tu_tactile_field.py,experiments/tactile-bench/test_tu_tactile_field.py,test_tu_tactile_field.py,,测试模块,由测试工具发现/调用，不作为直接入口,no,no,no,no,no,ok,,test tu tactile field,tu_tactile_field,numpy,0,,test_module
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/test_v5_new_7f_deformation_contract_probe.py,experiments/tactile-bench/test_v5_new_7f_deformation_contract_probe.py,test_v5_new_7f_deformation_contract_probe.py,v5_new_7f,静态测试入口,静态识别的可导航脚本,yes,yes,no,no,no,ok,,test v5 new 7f deformation contract probe,OpenWorldTactile_v5_new_7f_deformation_contract_probe,numpy,20,actual_indentation_mm.npy; back_surface_indices.npy; commanded_indentation_mm.npy; current_surface_pad_local.npy; force_pad_local.npy; front_surface_indices.npy; front_surface_mask.npy; metadata.json; normal_compression.npy; pad_pose.npy; phase_history.json; rest_surface_pad_local.npy; rest_surface_vertices_pad_local.npy; shear_displacement.npy; surface_deformation.npy; surface_displacement_pad_local.npy; surface_triangles.npy; uipc_surface_w.npy; verdict.json; vertex_area.npy,main_guard; test_module
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/tactile-bench,active-isaaclab-2.1.1/experiments/tactile-bench/test_v5_new_7g_deformation_force_estimator.py,experiments/tactile-bench/test_v5_new_7g_deformation_force_estimator.py,test_v5_new_7g_deformation_force_estimator.py,v5_new_7g,静态测试入口,静态识别的可导航脚本,yes,yes,no,no,no,ok,,test v5 new 7g deformation force estimator,OpenWorldTactile_v5_new_7g_deformation_force_estimator,numpy,10,commanded.npy; force_pad_local.npy; front_surface_mask.npy; history.npy; metadata.json; pressure.npy; surface_displacement_pad_local.npy; tactile_force_channels.npy; verdict.json; vertex_area.npy,main_guard; test_module
